	sub_clusters_manual
7-18922790-18923113	sub_clust_0
7-18923583-18923935	unassigned
7-18936330-18936737	unassigned
7-18974839-18975215	unassigned
7-19059176-19059416	unassigned
7-19107031-19107455	unassigned
7-19119968-19120699	unassigned
7-19134673-19135880	unassigned
7-19138225-19138947	unassigned
7-19160667-19161175	unassigned
7-19186757-19187261	unassigned
7-19222444-19222983	unassigned
7-19232967-19233166	unassigned
7-19235664-19235927	unassigned
7-19247139-19247835	unassigned
7-19249790-19250160	unassigned
7-19254133-19254882	unassigned
7-19325187-19326127	unassigned
7-19375548-19376201	sub_cluster_4
7-19391655-19391934	unassigned
7-19394460-19394685	unassigned
7-19430380-19430841	unassigned
7-19551215-19554074	unassigned
7-19558867-19560137	unassigned
7-19592903-19593383	unassigned
7-19611756-19612286	unassigned
7-19653779-19654246	unassigned
7-19698730-19699122	unassigned
7-19710000-19710335	unassigned
7-19716674-19716985	unassigned
7-19779111-19780364	unassigned
7-19783949-19784563	unassigned
7-19978828-19979027	unassigned
7-19979133-19980213	unassigned
7-19981927-19982348	unassigned
7-20016418-20017367	unassigned
7-20085603-20086737	unassigned
7-20183157-20183849	unassigned
7-20209049-20209649	unassigned
7-20257029-20257829	sub_clust_5
7-20310845-20311248	sub_clust_2
7-20314306-20314773	sub_clust_1
7-20345528-20345983	unassigned
7-20375125-20376620	unassigned
7-20377115-20377468	unassigned
7-20395676-20395909	unassigned
7-20438099-20439334	unassigned
7-20443656-20444562	unassigned
7-20467352-20468081	unassigned
7-20503076-20503351	unassigned
7-20580721-20580999	unassigned
7-20601002-20601979	unassigned
7-20611881-20612202	unassigned
7-20614749-20614962	unassigned
7-20617777-20618103	unassigned
7-20656581-20658273	unassigned
7-20676109-20676378	unassigned
7-20721752-20722032	sub_cluster_4
7-20746025-20746330	unassigned
7-20784386-20784880	unassigned
7-20832689-20832902	unassigned
7-20840340-20841139	unassigned
7-20858003-20858641	unassigned
7-20939978-20940177	unassigned
7-20957806-20958696	unassigned
7-20991634-20992657	unassigned
7-21000355-21001046	unassigned
7-21014697-21015472	unassigned
7-21028927-21030333	unassigned
7-21050174-21051141	unassigned
7-21070253-21071108	sub_clust_1
7-21102226-21103833	unassigned
7-21114314-21115400	unassigned
7-21129517-21130511	unassigned
7-21147423-21147922	sub_clust_3
7-21164988-21165286	unassigned
7-21182423-21182905	unassigned
7-21190665-21191042	sub_clust_0
7-21198359-21199155	unassigned
7-21255568-21256988	sub_clust_2
7-21346381-21346580	unassigned
7-21365716-21366902	sub_clust_2
7-21382916-21384042	unassigned
7-21391325-21391951	sub_clust_1
7-21393383-21394198	unassigned
7-21484564-21484889	unassigned
7-21538249-21538885	unassigned
7-21539985-21540222	unassigned
7-21595583-21595948	unassigned
7-21649855-21651008	unassigned
7-21678765-21680330	unassigned
7-21701284-21702515	unassigned
7-21767217-21767492	unassigned
7-21879433-21879889	unassigned
7-21935344-21935770	unassigned
7-21948968-21949205	unassigned
7-21955967-21956544	unassigned
7-21982074-21982385	unassigned
7-21983877-21984114	unassigned
7-22003385-22003584	unassigned
7-22006412-22006633	unassigned
7-22028115-22028352	unassigned
7-22031786-22032409	unassigned
7-22043903-22045024	unassigned
7-22062375-22062625	unassigned
7-22153068-22153532	unassigned
7-22176886-22177544	unassigned
7-22188287-22188782	unassigned
7-22201139-22201754	sub_clust_2
7-22203818-22204320	unassigned
7-22204797-22205284	unassigned
7-22209365-22209844	unassigned
7-22228852-22229165	unassigned
7-22234297-22234974	unassigned
7-22260662-22260861	unassigned
7-22262235-22262440	unassigned
7-22282927-22283681	sub_cluster_4
7-22304384-22304583	unassigned
7-22323680-22324334	sub_clust_3
7-22328229-22328628	unassigned
7-22329727-22330009	unassigned
7-22330290-22330595	unassigned
7-22349818-22350348	unassigned
7-22362586-22362954	unassigned
7-22401336-22401783	unassigned
7-22416606-22416943	unassigned
7-22426903-22427297	unassigned
7-22428894-22429134	unassigned
7-22482502-22483352	unassigned
7-22483649-22484067	unassigned
7-22493012-22493524	unassigned
7-22500542-22501323	unassigned
7-22504097-22504414	sub_clust_0
7-22547893-22548272	unassigned
7-22550604-22551346	unassigned
7-22556116-22556790	unassigned
7-22584881-22585716	unassigned
7-22634928-22635168	unassigned
7-22642102-22642574	unassigned
7-22643898-22644097	unassigned
7-22722654-22723834	unassigned
7-22736458-22736913	unassigned
7-22746487-22748156	unassigned
7-22774811-22775704	sub_clust_3
7-22841927-22842692	unassigned
7-22844829-22845449	unassigned
7-22875898-22876341	unassigned
7-22886289-22887041	unassigned
7-22903532-22903918	unassigned
7-22911660-22912312	sub_clust_2
7-22930870-22931981	unassigned
7-23031245-23031601	unassigned
7-23155240-23155486	unassigned
7-23175127-23176793	unassigned
7-23182645-23182914	unassigned
7-23191307-23191950	unassigned
7-23201339-23201650	unassigned
7-23215328-23215714	unassigned
7-23218547-23219047	unassigned
7-23256598-23256862	unassigned
7-23276055-23276683	unassigned
7-23285044-23285389	unassigned
7-23291575-23292459	unassigned
7-23300177-23301030	unassigned
7-23302532-23303078	unassigned
7-23307473-23308218	unassigned
7-23335926-23336268	unassigned
7-23348489-23348697	unassigned
7-23348706-23348905	unassigned
7-23364810-23365344	unassigned
7-23395995-23396649	sub_cluster_4
7-23404417-23404648	unassigned
7-23408486-23409381	unassigned
7-23437770-23438568	unassigned
7-23450300-23450736	unassigned
7-23454291-23455160	sub_clust_2
7-23469364-23470362	sub_clust_3
7-23473494-23473758	unassigned
7-23475457-23476138	unassigned
7-23480919-23481221	unassigned
7-23513546-23514151	unassigned
7-23524843-23525271	unassigned
7-23633576-23633803	unassigned
7-23641068-23641682	unassigned
7-23649534-23650735	unassigned
7-23669467-23670567	unassigned
7-23684639-23685063	unassigned
7-23730918-23731574	unassigned
7-23744756-23746481	unassigned
7-23762973-23763923	unassigned
7-23818293-23819143	unassigned
7-23881531-23882289	sub_clust_2
7-23912255-23913191	unassigned
7-23930105-23930304	unassigned
7-23955579-23955934	unassigned
7-23958214-23959114	sub_clust_0
7-23966102-23967071	sub_clust_3
7-23975425-23975734	unassigned
7-23979431-23980098	sub_clust_2
7-24015854-24016597	unassigned
7-24017601-24017800	unassigned
7-24075102-24075906	sub_clust_3
7-24154038-24154279	unassigned
7-24154938-24155514	unassigned
7-24156316-24157158	unassigned
7-24196070-24196747	unassigned
7-24218433-24219229	unassigned
7-24281254-24282493	unassigned
7-24293324-24293577	unassigned
7-24304448-24304966	unassigned
7-24306617-24306994	unassigned
7-24346618-24347607	unassigned
7-24376006-24376781	unassigned
7-24389029-24389838	sub_clust_3
7-24398468-24398667	unassigned
7-24420773-24421753	unassigned
7-24438154-24439901	unassigned
7-24445277-24446237	unassigned
7-24475890-24476237	unassigned
7-24530759-24531232	unassigned
7-24565196-24565434	unassigned
7-24580278-24580537	unassigned
7-24594659-24594992	unassigned
7-24608733-24609175	unassigned
7-24640222-24641219	unassigned
7-24651064-24651861	unassigned
7-24704062-24704411	unassigned
7-24744112-24745227	unassigned
7-24747697-24748984	unassigned
7-24803658-24804497	unassigned
7-24835084-24835867	sub_clust_2
7-24845756-24846473	sub_clust_2
7-24876482-24877500	unassigned
7-24931208-24931761	unassigned
7-24962302-24962867	unassigned
7-24998923-24999869	sub_cluster_4
7-25006101-25007742	sub_clust_3
7-25008482-25008724	sub_clust_2
7-25031573-25031880	sub_clust_3
7-25081858-25082116	unassigned
7-25088183-25088843	sub_clust_1
7-25140121-25140927	unassigned
7-25169458-25170273	sub_clust_1
7-25172774-25173003	unassigned
7-25207483-25208048	unassigned
7-25253959-25255548	unassigned
7-25256304-25256735	unassigned
7-25256902-25257247	unassigned
7-25270197-25270754	unassigned
7-25275738-25276412	unassigned
7-25305999-25307266	unassigned
7-25313853-25314361	unassigned
7-25336307-25336802	sub_clust_2
7-25354372-25354733	unassigned
7-25381102-25381645	unassigned
7-25387473-25387897	unassigned
7-25404733-25405900	unassigned
7-25406402-25406908	unassigned
7-25438342-25438685	unassigned
7-25448970-25449460	unassigned
7-25495020-25495392	unassigned
7-25502870-25503824	unassigned
7-25519836-25521015	unassigned
7-25531541-25531754	unassigned
7-25558725-25558983	unassigned
7-25589718-25590549	sub_clust_2
7-25596208-25596664	sub_clust_0
7-25600661-25601080	unassigned
7-25605567-25605823	unassigned
7-25610369-25610594	unassigned
7-25612162-25613190	unassigned
7-25653130-25653561	unassigned
7-25659180-25659883	unassigned
7-25668834-25669556	unassigned
7-25673593-25673928	unassigned
7-25683985-25684594	unassigned
7-25685037-25685545	unassigned
7-25692870-25693538	unassigned
7-25714870-25716858	unassigned
7-25724586-25725376	unassigned
7-25872216-25872720	unassigned
7-25925158-25925954	unassigned
7-25988246-25988764	unassigned
7-25989073-25989718	unassigned
7-26033437-26034278	unassigned
7-26107248-26107828	sub_cluster_4
7-26134141-26134425	unassigned
7-26210513-26210795	unassigned
7-26231777-26232257	unassigned
7-26247662-26248051	unassigned
7-26289892-26290185	unassigned
7-26335907-26336502	unassigned
7-26371536-26371910	unassigned
7-26380044-26380569	unassigned
7-26491916-26493600	unassigned
7-26503695-26504904	unassigned
7-26566745-26567235	unassigned
7-26656957-26657177	unassigned
7-26673322-26673817	unassigned
7-26692323-26692626	sub_clust_2
7-26729431-26729873	sub_clust_5
7-26745369-26745839	unassigned
7-26783843-26784379	unassigned
7-26814272-26814471	unassigned
7-26814892-26815272	sub_clust_0
7-26833419-26833656	unassigned
7-26856767-26857615	unassigned
7-26861733-26862781	unassigned
7-26905798-26906743	unassigned
7-26944722-26945480	unassigned
7-26955819-26956506	sub_clust_2
7-27020357-27021119	sub_cluster_4
7-27056270-27056910	sub_clust_2
7-27117471-27117894	unassigned
7-27155271-27155537	unassigned
7-27192230-27192839	unassigned
7-27205215-27205809	unassigned
7-27247982-27248458	unassigned
7-27274445-27275491	unassigned
7-27296306-27297669	unassigned
7-27311112-27312839	unassigned
7-27415822-27416889	unassigned
7-27447850-27448871	unassigned
7-27467244-27469398	unassigned
7-27499592-27500114	unassigned
7-27530616-27531010	unassigned
7-27563043-27563242	unassigned
7-27593012-27593603	unassigned
7-27642210-27642575	unassigned
7-27662357-27663182	unassigned
7-27668878-27669446	unassigned
7-27671959-27672368	unassigned
7-27726939-27727532	unassigned
7-27771465-27771909	unassigned
7-27773841-27774587	unassigned
7-27819854-27820856	sub_clust_2
7-27926713-27927376	unassigned
7-27934963-27936690	unassigned
7-27941439-27941874	unassigned
7-27947325-27948091	sub_clust_3
7-27987272-27987714	unassigned
7-27989386-27989987	unassigned
7-28003243-28003844	unassigned
7-28016716-28017116	unassigned
7-28017477-28017681	unassigned
7-28025956-28026337	unassigned
7-28031258-28031580	unassigned
7-28033561-28033867	unassigned
7-28035786-28035993	unassigned
7-28039688-28040022	unassigned
7-28043314-28043911	unassigned
7-28044218-28044583	unassigned
7-28080112-28081784	unassigned
7-28088026-28088327	unassigned
7-28101813-28102738	sub_clust_2
7-28154816-28155494	sub_clust_2
7-28184210-28184654	unassigned
7-28247542-28248383	unassigned
7-28269075-28269849	unassigned
7-28274653-28275669	unassigned
7-28328184-28329678	unassigned
7-28334312-28334599	unassigned
7-28336466-28338604	sub_clust_2
7-28380483-28380845	unassigned
7-28412120-28412487	unassigned
7-28419367-28419802	unassigned
7-28461373-28461998	sub_clust_3
7-28493304-28493868	unassigned
7-28494667-28495579	unassigned
7-28499669-28500015	unassigned
7-28500524-28501450	sub_clust_2
7-28542381-28543613	unassigned
7-28548140-28549805	unassigned
7-28580568-28582146	unassigned
7-28674357-28674820	unassigned
7-28681818-28682417	unassigned
7-28692600-28693038	unassigned
7-28693617-28695283	unassigned
7-28768164-28768634	sub_clust_1
7-28847447-28847707	sub_clust_0
7-28853190-28853573	unassigned
7-28865735-28866392	unassigned
7-28923469-28924446	sub_clust_2
7-29121759-29122098	unassigned
7-29132588-29132875	unassigned
7-29201837-29202324	unassigned
7-29204171-29204385	unassigned
7-29219879-29220451	unassigned
7-29304293-29304952	unassigned
7-29308159-29308716	sub_clust_2
7-29322186-29322529	unassigned
7-29344354-29344579	unassigned
7-29347681-29348039	unassigned
7-29423599-29424076	unassigned
7-29466855-29467689	unassigned
7-29519254-29519642	unassigned
7-29521952-29522742	unassigned
7-29565036-29566065	sub_clust_1
7-29570206-29571885	unassigned
7-29584333-29584758	sub_clust_2
7-29588225-29588493	unassigned
7-29605480-29606337	unassigned
7-29654261-29654565	unassigned
7-29678818-29679689	unassigned
7-29690825-29691394	sub_clust_0
7-29691865-29692314	sub_clust_3
7-29693524-29693723	unassigned
7-29701887-29702529	unassigned
7-29713086-29713388	unassigned
7-29714200-29714566	unassigned
7-29854248-29854504	unassigned
7-29889155-29889761	sub_clust_3
7-29949075-29949995	unassigned
7-29982222-29982569	unassigned
7-29984397-29985193	unassigned
7-30028786-30029015	unassigned
7-30045204-30046118	sub_cluster_4
7-30064354-30064978	unassigned
7-30072689-30073004	unassigned
7-30088492-30088708	unassigned
7-30117810-30118049	unassigned
7-30119439-30120583	unassigned
7-30126541-30127054	unassigned
7-30133086-30133314	unassigned
7-30160907-30161127	unassigned
7-30209310-30209575	sub_clust_2
7-30285686-30286619	unassigned
7-30331294-30332203	sub_clust_1
7-30345493-30346390	unassigned
7-30412347-30413225	unassigned
7-30486202-30486577	unassigned
7-30524898-30525808	unassigned
7-30555211-30556110	sub_clust_2
7-30572911-30573541	unassigned
7-30638021-30639364	unassigned
7-30649143-30649939	unassigned
7-30651448-30651688	unassigned
7-30654733-30655050	unassigned
7-30711039-30711449	unassigned
7-30713577-30714398	unassigned
7-30733331-30733849	unassigned
7-30748519-30749183	unassigned
7-30797677-30798089	unassigned
7-30851154-30852111	unassigned
7-30878660-30879544	unassigned
7-30940280-30941196	sub_clust_5
7-31049608-31049869	sub_clust_3
7-31055745-31056591	sub_clust_2
7-31063294-31063638	sub_cluster_4
7-31096009-31096242	sub_clust_0
7-31097845-31098793	unassigned
7-31098813-31099613	sub_cluster_4
7-31100637-31101436	sub_clust_2
7-31168419-31168850	unassigned
7-31180920-31181153	unassigned
7-31195279-31195800	unassigned
7-31236128-31236856	unassigned
7-31243456-31244671	unassigned
7-31279051-31279701	unassigned
7-31285773-31286116	sub_clust_2
7-31289530-31289885	sub_clust_2
7-31290402-31290640	unassigned
7-31301549-31302038	unassigned
7-31399948-31400851	sub_clust_2
7-31406230-31407065	sub_clust_5
7-31494863-31495235	unassigned
7-31507517-31507998	unassigned
7-31536805-31537678	unassigned
7-31549680-31550876	unassigned
7-31574908-31576470	unassigned
7-31586182-31586483	unassigned
7-31589865-31591931	unassigned
7-31600905-31601830	unassigned
7-31643615-31644521	unassigned
7-31686431-31687115	unassigned
7-31688146-31688560	unassigned
7-31695998-31696629	sub_clust_2
7-31725777-31726237	unassigned
7-31727485-31728488	unassigned
7-31734098-31734880	unassigned
7-31738764-31739117	unassigned
7-31815013-31815273	unassigned
7-31848849-31849162	unassigned
7-31857467-31858413	unassigned
7-31886852-31887103	unassigned
7-31953918-31954123	unassigned
7-31981540-31983329	unassigned
7-32042759-32042968	sub_clust_0
7-32050984-32051745	unassigned
7-32085635-32086632	unassigned
7-32097310-32097817	sub_clust_0
7-32232947-32233378	unassigned
7-32264515-32265219	unassigned
7-32273097-32273406	unassigned
7-32276560-32276819	unassigned
7-32309916-32310142	unassigned
7-32399582-32401032	unassigned
7-32452420-32453044	sub_clust_2
7-32475137-32476249	unassigned
7-32479087-32479815	unassigned
7-32497907-32498437	unassigned
7-32502829-32503143	unassigned
7-32510559-32510956	unassigned
7-32524457-32525067	unassigned
7-32550796-32550999	unassigned
7-32554295-32554582	unassigned
7-32560104-32560571	unassigned
7-32589087-32589400	unassigned
7-32594620-32595509	unassigned
7-32642027-32642226	unassigned
7-32647584-32648008	unassigned
7-32652903-32653122	unassigned
7-32656886-32657499	unassigned
7-32661549-32661990	unassigned
7-32668720-32668941	unassigned
7-32678886-32679470	unassigned
7-32680353-32680829	unassigned
7-32697474-32697918	sub_clust_2
7-32704182-32705785	unassigned
7-32709402-32709641	unassigned
7-32725053-32725350	unassigned
7-32769531-32770365	unassigned
7-32780753-32781261	unassigned
7-32788350-32789224	unassigned
7-32792964-32794176	unassigned
7-32796050-32797754	unassigned
7-32810202-32810703	unassigned
7-32812023-32812457	unassigned
7-32820497-32821008	unassigned
7-32887021-32888080	unassigned
7-32914393-32915028	sub_cluster_4
7-32915292-32916658	sub_clust_3
7-32972958-32973401	unassigned
7-32991135-32991441	unassigned
7-33036674-33037061	unassigned
7-33072819-33074191	unassigned
7-33111083-33112013	unassigned
7-33115321-33115722	sub_clust_2
7-33227601-33228330	unassigned
7-33259700-33259899	unassigned
7-33287184-33288078	unassigned
7-33288602-33288804	unassigned
7-33346313-33346544	sub_clust_3
7-33400393-33401649	unassigned
7-33442513-33443295	unassigned
7-33462241-33462684	sub_cluster_4
7-33477210-33478039	unassigned
7-33502747-33503209	sub_clust_1
7-33509151-33510037	unassigned
7-33521437-33523362	unassigned
7-33578852-33580787	unassigned
7-33586752-33587272	unassigned
7-33592919-33593888	unassigned
7-33595706-33597074	unassigned
7-33624394-33626085	unassigned
7-33659085-33660459	unassigned
7-33672873-33674314	unassigned
7-33718189-33718429	unassigned
7-33808459-33808921	unassigned
7-33973033-33973726	unassigned
7-34017229-34017580	unassigned
7-34072981-34073530	unassigned
7-34083699-34084361	unassigned
7-34130474-34132181	unassigned
7-34178863-34179130	unassigned
7-34185927-34187312	unassigned
7-34271235-34271500	unassigned
7-34281492-34282071	unassigned
7-34286785-34288531	unassigned
7-34315925-34316700	unassigned
7-34318327-34318953	unassigned
7-34362511-34362754	unassigned
7-34384746-34385355	unassigned
7-34392405-34392774	unassigned
7-34414339-34414737	sub_clust_5
7-34426311-34426946	unassigned
7-34472583-34473303	unassigned
7-34543643-34544126	unassigned
7-34564966-34565556	unassigned
7-34569635-34569884	unassigned
7-34575333-34575691	unassigned
7-34611427-34611666	unassigned
7-34741511-34742304	unassigned
7-34753025-34754455	unassigned
7-34800626-34802303	unassigned
7-34846384-34847359	unassigned
7-34850970-34851935	unassigned
7-34854336-34854593	unassigned
7-34863050-34863936	unassigned
7-34876816-34878411	unassigned
7-34936550-34937041	unassigned
7-34944556-34944972	unassigned
7-34954474-34954846	unassigned
7-34977990-34978452	unassigned
7-34998776-34999959	unassigned
7-35077692-35078517	sub_cluster_4
7-35079237-35079855	unassigned
7-35156236-35156911	unassigned
7-35162992-35163499	unassigned
7-35251274-35251598	unassigned
7-35275000-35275283	unassigned
7-35329649-35331348	unassigned
7-35344077-35344374	unassigned
7-35364848-35365405	unassigned
7-35401609-35402772	sub_clust_0
7-35500415-35501320	sub_clust_2
7-35506091-35507115	unassigned
7-35526675-35526874	sub_clust_0
7-35604180-35604421	unassigned
7-35605299-35606178	unassigned
7-35646767-35647345	unassigned
7-35679268-35679764	sub_clust_1
7-35709682-35710858	unassigned
7-35728283-35729424	unassigned
7-35734144-35734650	unassigned
7-35738816-35739782	sub_clust_2
7-35746347-35746796	unassigned
7-35752015-35752899	unassigned
7-35755373-35755941	unassigned
7-35758018-35758590	unassigned
7-35761486-35762350	unassigned
7-35763134-35764009	unassigned
7-35799863-35800062	unassigned
7-35854820-35856225	unassigned
7-35859395-35860429	unassigned
7-35862597-35863708	unassigned
7-35877319-35878513	unassigned
7-35884408-35886212	unassigned
7-35935338-35936910	unassigned
7-36021355-36022282	sub_clust_2
7-36040902-36041843	unassigned
7-36048463-36050196	unassigned
7-36053482-36054877	unassigned
7-36163712-36164403	sub_clust_2
7-36242679-36243851	unassigned
7-36268738-36269979	unassigned
7-36306816-36308101	unassigned
7-36308977-36309402	sub_clust_1
7-36315212-36315422	unassigned
7-36320036-36320996	unassigned
7-36323913-36324579	unassigned
7-36366115-36367004	unassigned
7-36415737-36416609	unassigned
7-36437012-36437287	unassigned
7-36443650-36444239	unassigned
7-36460964-36461839	unassigned
7-36471209-36471812	unassigned
7-36491927-36492752	unassigned
7-36503428-36504193	unassigned
7-36527181-36527450	unassigned
7-36528719-36528999	unassigned
7-36538134-36539606	unassigned
7-36551292-36554322	unassigned
7-36577024-36577223	unassigned
7-36606825-36607512	unassigned
7-36610248-36611143	sub_clust_3
7-36729537-36729933	sub_clust_0
7-36781559-36782889	unassigned
7-36793358-36793642	unassigned
7-36812977-36813591	unassigned
7-36851375-36852056	sub_clust_3
7-36856863-36857762	unassigned
7-36860201-36861645	unassigned
7-36868926-36869753	unassigned
7-36926419-36927275	sub_clust_5
7-36943251-36944090	unassigned
7-36971252-36972127	unassigned
7-36974728-36975411	unassigned
7-36978849-36980143	unassigned
7-37006534-37007572	sub_clust_0
7-37011720-37012570	unassigned
7-37021402-37022019	unassigned
7-37027915-37029058	unassigned
7-37033493-37033931	unassigned
7-37063002-37063874	unassigned
7-37097253-37097793	unassigned
7-37203539-37203738	unassigned
7-37218412-37218875	unassigned
7-37234655-37235502	unassigned
7-37239669-37240435	unassigned
7-37257165-37259342	unassigned
7-37259393-37259794	sub_clust_2
7-37273572-37274638	unassigned
7-37447248-37449430	unassigned
7-37513961-37514853	unassigned
7-37526737-37527267	unassigned
7-37647731-37649541	unassigned
7-37674689-37675032	unassigned
7-37681345-37681662	unassigned
7-37721736-37722059	unassigned
7-37750434-37750869	unassigned
7-37773465-37774761	unassigned
7-37784289-37784546	unassigned
7-37804618-37805516	sub_cluster_4
7-37814969-37816519	unassigned
7-37884465-37884932	unassigned
7-37953218-37953945	unassigned
7-37973858-37974705	unassigned
7-37979465-37979852	unassigned
7-37982988-37983546	unassigned
7-37999836-38000124	unassigned
7-38001629-38002735	unassigned
7-38005237-38005829	unassigned
7-38009923-38010155	unassigned
7-38015605-38016849	unassigned
7-38028211-38028881	unassigned
7-38030986-38031185	unassigned
7-38031821-38032828	unassigned
7-38039711-38040373	unassigned
7-38068571-38068829	unassigned
7-38118970-38119531	unassigned
7-38142271-38143208	unassigned
7-38176904-38177286	unassigned
7-38177763-38178806	sub_clust_0
7-38271188-38272095	sub_clust_0
7-38402627-38403179	unassigned
7-38405408-38406204	unassigned
7-38426153-38426885	sub_clust_1
7-38451979-38452350	sub_clust_0
7-38520058-38520997	unassigned
7-38559848-38560687	sub_clust_0
7-38702455-38703378	unassigned
7-38704612-38705343	unassigned
7-38709052-38710081	sub_clust_2
7-38720552-38720825	unassigned
7-38748821-38749795	sub_clust_2
7-38829772-38830826	unassigned
7-38835564-38836276	unassigned
7-38892097-38892466	sub_clust_1
7-38893617-38894474	unassigned
7-38895721-38896634	unassigned
7-38969086-38969285	unassigned
7-38987000-38987202	unassigned
7-38989222-38989668	unassigned
7-38989772-38990018	unassigned
7-38999023-38999777	unassigned
7-39017855-39018244	sub_cluster_4
7-39019864-39020665	unassigned
7-39033539-39034241	unassigned
7-39140193-39140808	unassigned
7-39168212-39170678	unassigned
7-39172298-39172831	unassigned
7-39202393-39202722	unassigned
7-39208228-39208663	sub_clust_2
7-39253897-39254594	unassigned
7-39258970-39259404	unassigned
7-39264067-39264551	unassigned
7-39362503-39362763	sub_clust_2
7-39388733-39389097	unassigned
7-39400521-39400784	unassigned
7-39412886-39413133	unassigned
7-39430939-39431613	unassigned
7-39509962-39510383	unassigned
7-39566068-39566307	unassigned
7-39569008-39569326	unassigned
7-39590976-39592179	sub_cluster_4
7-39602400-39603406	unassigned
7-39693450-39693894	sub_clust_3
7-39716166-39716538	unassigned
7-39745041-39745274	unassigned
7-39769295-39769683	unassigned
7-39797007-39798125	unassigned
7-39805180-39805632	unassigned
7-39820031-39820437	unassigned
7-40066639-40067896	sub_clust_2
7-40158983-40159197	unassigned
7-40168093-40168901	unassigned
7-40188622-40189276	sub_clust_1
7-40236037-40236846	unassigned
7-40237469-40237903	sub_clust_0
7-40252975-40253181	unassigned
7-40306313-40307151	unassigned
7-40309366-40310222	sub_clust_2
7-40311966-40312535	unassigned
7-40317246-40318600	unassigned
7-40325632-40326486	sub_clust_1
7-40336917-40337848	unassigned
7-40340232-40341145	unassigned
7-40346343-40346793	unassigned
7-40348874-40349720	unassigned
7-40370986-40371909	unassigned
7-40399466-40399695	unassigned
7-40420843-40421472	unassigned
7-40426536-40428005	unassigned
7-40430091-40430865	unassigned
7-40433224-40433996	unassigned
7-40452325-40453109	unassigned
7-40457855-40458919	unassigned
7-40469933-40471026	unassigned
7-40489414-40490017	unassigned
7-40490253-40491723	unassigned
7-40499761-40500408	sub_clust_2
7-40507402-40507899	unassigned
7-40516374-40517326	unassigned
7-40518549-40519542	unassigned
7-40540597-40540822	unassigned
7-40550464-40551337	unassigned
7-40579451-40579888	unassigned
7-40597701-40597945	unassigned
7-40618510-40619251	unassigned
7-40660949-40661190	unassigned
7-40668979-40669668	unassigned
7-40724781-40725479	unassigned
7-40736023-40736464	unassigned
7-40746724-40746923	unassigned
7-40758419-40759383	unassigned
7-40774859-40775832	unassigned
7-40793189-40793714	unassigned
7-40932399-40933047	sub_clust_2
7-40976745-40977669	unassigned
7-40984402-40985646	unassigned
7-41026077-41026717	unassigned
7-41120738-41121568	sub_clust_2
7-41125708-41125933	unassigned
7-41250396-41250663	unassigned
7-41252167-41252772	unassigned
7-41253933-41255050	unassigned
7-41310429-41311211	sub_clust_3
7-41332344-41332938	sub_clust_2
7-41389186-41389385	unassigned
7-41451690-41452077	unassigned
7-41530908-41531358	sub_clust_1
7-41536840-41537367	sub_clust_3
7-41602649-41603284	sub_clust_2
7-41616017-41617169	unassigned
7-41640930-41641891	unassigned
7-41666757-41666972	unassigned
7-41667914-41668113	unassigned
7-41695278-41695808	unassigned
7-41756570-41757065	unassigned
7-41759874-41760368	unassigned
7-41763100-41763727	unassigned
7-41805073-41805889	sub_cluster_4
7-41807709-41808166	sub_clust_2
7-41898069-41898935	sub_clust_2
7-41901853-41902073	unassigned
7-41943998-41944337	unassigned
7-41947621-41948300	unassigned
7-41957486-41957899	unassigned
7-41958033-41959130	unassigned
7-41981436-41981838	unassigned
7-42006510-42006845	unassigned
7-42090855-42091215	sub_clust_0
7-42096093-42096412	unassigned
7-42099873-42100076	unassigned
7-42102598-42102908	unassigned
7-42107811-42108244	unassigned
7-42163866-42164289	unassigned
7-42182674-42184505	sub_clust_2
7-42233924-42234457	unassigned
7-42261216-42262292	sub_clust_3
7-42267782-42267981	unassigned
7-42299511-42299929	unassigned
7-42332770-42333014	unassigned
7-42346160-42347070	unassigned
7-42437164-42438326	unassigned
7-42446797-42447264	unassigned
7-42528225-42528899	sub_clust_5
7-42574258-42575272	sub_clust_0
7-42630338-42630688	unassigned
7-42643008-42643215	unassigned
7-42660125-42661506	unassigned
7-42687393-42687718	unassigned
7-42692073-42692272	unassigned
7-42696032-42696969	sub_clust_1
7-42735027-42735261	unassigned
7-42736696-42737081	unassigned
7-42804793-42805145	unassigned
7-42816240-42816617	unassigned
7-42823053-42823931	unassigned
7-42931078-42931779	sub_clust_5
7-42950600-42950914	unassigned
7-42957232-42957907	unassigned
7-42966082-42966391	unassigned
7-42966581-42967317	sub_clust_2
7-42968789-42969003	unassigned
7-42980284-42980533	unassigned
7-42983285-42984239	unassigned
7-42988562-42988761	unassigned
7-42991199-42991452	unassigned
7-42994940-42995199	sub_clust_1
7-42998093-42998533	unassigned
7-43030877-43031293	unassigned
7-43033503-43033824	unassigned
7-43043641-43044024	unassigned
7-43067319-43067545	unassigned
7-43081334-43081594	unassigned
7-43151760-43151961	unassigned
7-43176178-43176867	sub_clust_1
7-43177251-43177667	unassigned
7-43179591-43179817	unassigned
7-43185256-43185790	unassigned
7-43185865-43186171	unassigned
7-43191196-43191437	unassigned
7-43195890-43196199	unassigned
7-43268698-43269247	unassigned
7-43287739-43288944	unassigned
7-43302214-43303230	sub_clust_1
7-43306800-43307114	unassigned
7-43309136-43309545	unassigned
7-43370554-43371430	unassigned
7-43372290-43372497	unassigned
